ID,Team/team_id,First Name,Last Name,Num,Age,DOB,player/birth_city,player/sp,player/country,HT,Wt,S,Draft,Round,Overall,Rk,player/pos_id,GP,G,A,A1,PTS,+/-,Sh,Misses,Blocked,Sh%,TOI,TOI/G,TOI/Sh,Shifts,Sh/G,Passes,Pa/60,FOW,FOL,FO%,HitsReceived,HitsRecieved/60,HitsGiven,HitsGiven/60,BlockedShots,Blocks/60,GiveAways,Giveaways/60,TakeAways,Takeaways/60,PIM,Minor,Major,Misconducts,Game Misconducts,Match,Grit,ShootOutShotsTaken,ShootoutGoals,SO%,1G,OTG,GWG,ENG,BHG,DeflG,SlapG,SnapG,TipG,WrapG,WristG,PenaltyShotGoals,PenaltyShotsTaken,PenaltyShot%,ShotDist,Crossbar,Post,OverNet,WideOfNet,Backhand,Deflected,Slap,Snap,Tipped,Wraparound,Wrist,1st Star,2nd Star,3rd Star,injury/Injury1,injury/Injury2,injury/Injury3,injury/Injury4,salary_Days,Salary,Cap Hit,Cap Cost,Bonuses
64,NJD,Reid,Boucher,12,22,9/8/93,Lansing,MI,USA,70,195,L,2011,4,99,,LW,39,8,11,7,19,-13,74,25,24,0.11,33392,14.3,46.2,723,18.5,78,8.4,1,2,0.333,54,5.8,32,3.4,14,1.5,9,1,9,1,6,3,0,0,0,0,52,2,1,0.5,2,0,4,0,1,0,1,2,0,0,4,0,0,0,31.9,0,1,2,22,4,1,12,24,4,0,29,2,3,1,,,,,94,0.743,0.693,0.467,0.183
88,CAR,Patrick,Brown,36,23,5/29/92,Bloomfield Hills,MI,USA,73,210,R,,,,Y,C,7,1,1,0,2,4,8,4,1,0.13,5294,12.6,41.7,127,18.1,0,0,0,0,0,6,4.1,11,7.5,6,4.1,4,2.7,2,1.4,4,2,0,0,0,0,21,,, ,1,0,0,0,0,0,0,0,0,0,1,0,0,0,15.9,0,0,1,3,2,0,0,3,0,1,2,1,0,0,,,,,12,0.665,0.652,0.042,0
134,PIT,Ian,Cole,28,26,2/21/89,Ann Arbor,MI,USA,73,219,L,2007,1,18,,D,70,0,12,4,12,-3,72,33,40,0.00,72404,17.2,44.2,1639,23.4,49,2.4,0,0,0,179,8.9,122,6.1,122,6.1,32,1.6,8,0.4,59,27,1,0,0,0,304,,, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.4,0,2,3,28,4,0,30,6,0,0,32,0,1,1,,,,,186,1.5,2.1,2.1,0
137,TBL,Erik,Condra,22,29,8/6/86,Trenton,MI,USA,71,183,R,2006,7,211,,RW,54,6,5,3,11,-4,58,18,20,0.10,34690,10.7,43.3,802,14.9,38,3.9,1,2,0.333,86,8.9,20,2.1,16,1.7,12,1.2,15,1.6,34,17,0,0,0,0,70,,, ,3,0,0,0,0,0,0,1,1,0,4,0,0,0,34.8,1,1,4,12,4,0,5,2,3,0,44,1,0,0,Lower body,,,,186,1,1.25,1.25,0
140,WPG,Andrew,Copp,9,21,7/8/94,Ann Arbor,MI,USA,73,206,L,2013,4,104,Y,C,77,7,6,4,13,8,54,14,21,0.13,36975,8,39.8,928,12.1,47,4.6,224,262,0.461,39,3.8,87,8.5,18,1.8,18,1.8,10,1,6,3,0,0,0,0,111,,, ,0,0,0,0,1,2,0,1,0,0,3,0,0,0,23.4,0,2,2,10,8,8,2,3,3,0,31,0,1,2,Upper body,,,,186,0.925,0.925,0.925,0
164,DET,Danny,DeKeyser,65,25,3/7/90,Detroit,MI,USA,75,191,L,,,,,D,78,8,12,7,20,2,72,30,43,0.11,102045,21.8,42.2,2417,31,77,2.7,0,0,0,75,2.6,88,3.1,107,3.8,38,1.3,17,0.6,44,22,0,0,0,0,239,,, ,2,1,3,0,0,0,3,1,0,0,4,0,0,0,52,1,0,1,28,0,0,26,9,1,0,36,2,1,1,Foot,,,,186,2.25,2.188,2.188,0
266,CAR,Nathan,Gerbe,14,28,7/24/87,Oxford,MI,USA,65,178,L,2005,5,142,,LW,47,3,4,2,7,-15,73,28,39,0.04,37957,13.5,43.2,879,18.7,32,3,2,3,0.4,25,2.4,54,5.1,10,0.9,23,2.2,13,1.2,14,7,0,0,0,0,78,1,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,30.5,0,0,3,25,13,1,11,18,4,1,25,0,0,0,Lower body,,,,186,2,1.75,1.75,0
276,DET,Luke,Glendening,41,26,4/28/89,Grand Rapids,MI,USA,71,194,R,,,,,C,81,8,13,6,21,4,88,39,25,0.09,70848,14.6,40.2,1764,21.8,50,2.5,614,511,0.546,103,5.2,143,7.3,71,3.6,11,0.6,20,1,46,23,0,0,0,0,260,,, ,1,0,3,3,0,0,0,0,3,0,5,0,0,0,25.3,1,0,6,32,25,4,2,8,10,1,38,0,2,2,Flu,,,,186,0.6,0.628,0.628,0
296,LAK,Kevin,Gravel,53,23,3/6/92,Kingsford,MI,USA,76,185,L,2010,5,148,Y,D,5,0,0,0,0,0,2,6,4,0.00,3503,11.7,39.8,88,17.6,0,0,0,0,0,14,14.4,4,4.1,4,4.1,2,2.1,0,0,0,0,0,0,0,0,8,,, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,6,0,0,1,0,0,0,1,0,0,0,,,,,22,0.667,0.667,0.109,0.258
298,NJD,Andy,Greene,6,33,10/30/82,Trenton,MI,USA,71,190,L,,,,,D,82,4,9,5,13,7,63,42,43,0.06,112925,23,48.5,2327,28.4,54,1.7,0,0,0,115,3.7,73,2.3,154,4.9,38,1.2,26,0.8,26,13,0,0,0,0,253,,, ,0,0,0,2,0,0,0,0,1,0,3,0,0,0,46.3,1,0,3,38,3,0,22,17,1,3,17,0,0,0,,,,,186,5,5,5,0
299,LAK,Matt,Greene,2,32,5/13/83,Grand Ledge,MI,USA,75,229,R,2002,2,44,,D,3,0,0,0,0,0,3,1,0,0.00,2115,11.8,36.5,58,19.3,0,0,0,0,0,7,11.9,5,8.5,1,1.7,3,5.1,0,0,8,4,0,0,0,0,14,,, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,1,0,0,2,0,0,0,1,0,0,0,Shoulder,,,,186,2.5,2.5,2.5,0
362,TOR,Matt,Hunwick,2,30,5/21/85,Warren,MI,USA,71,191,L,2004,7,224,,D,60,2,8,5,10,-17,74,46,63,0.03,81229,22.6,44.9,1808,30.1,56,2.5,0,0,0,137,6.1,126,5.6,98,4.3,44,2,24,1.1,32,16,0,0,0,0,256,,, ,1,0,1,0,0,0,1,0,0,0,1,0,0,0,51.7,0,1,3,42,3,1,21,12,1,0,36,1,0,0,Hernia,Undisclosed,Illness,,186,1.2,1.2,1.2,0
394,FLA,Steven,Kampfer,3,27,9/24/88,Ann Arbor,MI,USA,71,192,R,2007,4,93,,D,47,0,4,0,4,5,54,19,25,0.00,42566,15.1,48,887,18.9,0,0,1,1,0.5,83,7,70,5.9,70,5.9,10,0.8,5,0.4,26,13,0,0,0,0,166,,, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.1,0,0,0,19,2,0,19,7,0,0,26,0,0,0,Ankle,Lower body,,,186,0.6,0.613,0.613,0
409,CHI,Tanner,Kero,67,23,7/24/92,Hancock,MI,USA,72,185,L,,,,Y,C,17,1,2,2,3,-2,26,7,9,0.04,12539,12.3,39.1,321,18.9,33,9.5,55,68,0.447,24,6.9,19,5.5,10,2.9,0,0,8,2.3,2,1,0,0,0,0,31,,, ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,27.4,0,0,0,7,3,1,1,3,2,0,16,0,0,0,,,,,41,0.667,0.667,0.147,0
410,ANA,Ryan,Kesler,17,31,8/31/84,Livonia,MI,USA,74,202,R,2003,1,23,,C,79,21,32,19,53,5,164,103,80,0.13,92580,19.5,43.4,2131,27,167,6.5,980,695,0.585,117,4.5,168,6.5,92,3.6,34,1.3,39,1.5,78,29,2,1,0,0,340,3,0,0,4,0,4,3,1,0,3,2,1,0,14,0,0,0,27.5,1,4,12,86,16,1,15,22,20,2,89,6,3,5,Lower body,,,,186,5,5,5,0
432,BOS,Torey,Krug,47,24,4/12/91,Livonia,MI,USA,69,186,L,,,,,D,81,4,40,26,44,9,244,98,149,0.02,105043,21.6,48.3,2173,26.8,280,9.6,2,0,1,84,2.9,61,2.1,94,3.2,57,2,20,0.7,33,14,1,0,0,0,189,2,1,0.5,0,0,1,0,0,0,2,1,0,0,1,0,0,0,48.2,1,6,10,81,4,0,73,33,0,1,133,1,0,2,Upper body,,,,186,3.4,3.4,3.4,0
447,DET,Dylan,Larkin,71,19,7/30/96,Waterford,MI,USA,73,190,L,2014,1,15,Y,C,80,23,22,16,45,11,221,80,89,0.10,79412,16.5,45.2,1755,21.9,149,6.8,41,59,0.41,94,4.3,65,2.9,25,1.1,39,1.8,43,1.9,34,17,0,0,0,0,124,2,0,0,8,0,5,0,4,2,0,4,0,1,12,0,0,0,30,0,6,5,69,20,3,15,47,1,6,129,6,5,4,Illness,Upper body,,,186,0.925,0.925,1.425,0.35
456,BUF,David,Legwand,17,35,8/17/80,Detroit,MI,USA,74,207,L,1998,1,2,,C,79,5,9,5,14,-4,61,9,23,0.08,46003,9.7,40.6,1133,14.3,70,5.5,196,231,0.459,35,2.7,28,2.2,18,1.4,12,0.9,19,1.5,14,7,0,0,0,0,60,,, ,2,0,0,0,1,0,0,1,0,0,3,0,0,0,40.1,0,0,1,8,7,2,1,6,2,2,41,0,1,1,,,,,186,3.5,3,3,0
461,SJS,Bryan,Lerg,11,30,1/20/86,Livonia,MI,USA,70,175,L,,,,,C,6,0,0,0,0,1,4,1,2,0.00,3195,8.9,39,82,13.7,0,0,17,16,0.515,2,2.3,13,14.6,3,3.4,0,0,0,0,0,0,0,0,0,0,16,,, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.5,0,0,0,1,0,0,1,0,1,0,2,0,0,0,,,,,16,0.6,0.6,0.052,0
500,LAK,Alec,Martinez,27,28,7/26/87,Rochester Hills,MI,USA,73,210,L,2007,4,95,,D,78,10,21,13,31,16,124,73,116,0.08,98985,21.2,43.5,2278,29.2,108,3.9,0,0,0,137,5,164,6,182,6.6,60,2.2,8,0.3,40,20,0,0,0,0,386,,, ,0,1,4,0,1,0,6,2,0,0,1,0,0,0,48.6,0,1,3,69,1,0,54,18,1,0,50,0,4,1,Undisclosed,,,,186,3.9,4,4,0
511,MTL,Michael,McCarron,34,20,3/7/95,Grosse Pointe,MI,USA,78,231,R,2013,1,25,Y,RW,20,1,1,1,2,-10,41,8,7,0.02,14018,11.7,39.6,354,17.7,22,5.6,85,84,0.503,25,6.4,49,12.6,8,2.1,7,1.8,4,1,37,6,3,1,0,0,97,,, ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26.5,0,0,1,7,4,0,2,2,4,1,28,0,0,0,,,,,41,0.925,0.863,0.237,0.213
538,EDM,Andrew,Miller,58,27,9/18/88,Bloomfield Hills,MI,USA,70,181,R,,,,,RW,6,0,0,0,0,-1,3,1,0,0.00,3284,9.1,37.7,87,14.5,0,0,13,16,0.448,4,4.4,4,4.4,0,0,0,0,1,1.1,0,0,0,0,0,0,4,,, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.7,0,0,0,1,0,0,2,0,0,0,1,0,0,0,,,,,20,0.63,0.63,0.068,0
593,EDM,Jordan,Oesterle,82,23,6/25/92,Dearborn Heights,MI,USA,72,182,L,,,,Y,D,17,0,5,3,5,1,24,8,19,0.00,22123,21.7,48.1,460,27.1,35,5.7,0,0,0,45,7.3,11,1.8,26,4.2,12,2,8,1.3,0,0,0,0,0,0,37,,, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.5,0,0,0,8,3,1,7,5,2,0,6,0,0,0,,,,,40,0.792,0.767,0.199,0.133
620,MTL,Greg,Pateryn,6,25,6/20/90,Sterling Heights,MI,USA,74,223,R,2008,5,128,Y,D,38,1,6,5,7,-8,32,16,37,0.03,38187,16.7,45.8,833,21.9,75,7.1,0,0,0,95,9,100,9.4,52,4.9,31,2.9,12,1.1,49,7,3,0,2,0,204,,, ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,52.7,0,0,2,14,0,0,15,0,0,0,17,0,1,1,,,,,186,0.575,0.562,0.563,0
634,MTL,Jeff,Petry,26,28,12/9/87,Ann Arbor,MI,USA,75,204,R,2006,2,45,,D,51,5,11,5,16,-6,98,44,91,0.05,65350,21.4,47.7,1370,26.9,67,3.7,1,0,1,118,6.5,86,4.7,73,4,50,2.8,16,0.9,16,8,0,0,0,0,175,,, ,1,0,2,0,0,0,2,1,0,0,2,0,0,0,48,0,0,4,40,0,1,34,10,0,0,53,2,0,1,Hernia,Lower body,Upper body,,186,7,5.5,5.5,0
636,NJD,Blake,Pietila,56,22,2/20/93,Milford,MI,USA,71,200,L,2011,5,129,Y,LW,7,1,1,1,2,0,10,1,4,0.10,5054,12,42.8,118,16.9,24,17.1,0,0,0,13,9.3,19,13.5,3,2.1,0,0,0,0,2,1,0,0,0,0,24,,, ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,27.9,0,0,0,1,2,0,0,2,0,0,6,0,0,0,,,,,16,0.65,0.662,0.065,0.1
645,PIT,Kevin,Porter,11,29,3/12/86,Detroit,MI,USA,71,191,L,2004,4,119,,C,41,0,3,2,3,-2,34,12,11,0.00,27845,11.3,41.8,666,16.2,53,6.9,44,43,0.506,47,6.1,96,12.4,25,3.2,8,1,7,0.9,0,0,0,0,0,0,121,,, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.1,0,1,1,10,4,0,2,6,0,0,22,0,0,0,Ankle,,,,139,0.575,0.575,0.43,0
647,NSH,Corey,Potter,21,32,1/5/84,Lansing,MI,USA,75,204,R,2003,4,122,,D,1,0,0,0,0,0,0,1,0,0.00,884,14.7,46.5,19,19,0,0,0,0,0,0,0,0,0,1,4.1,0,0,0,0,0,0,0,0,0,0,1,,, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0
673,COL,Zach,Redmond,22,27,7/26/88,Traverse City,MI,USA,74,205,R,2008,7,184,,D,37,2,4,4,6,5,22,18,22,0.09,26149,11.8,41.8,625,16.9,42,5.8,0,0,0,31,4.3,47,6.5,39,5.4,12,1.7,6,0.8,10,5,0,0,0,0,96,,, ,0,0,0,0,0,0,1,1,0,0,0,0,0,0,47.3,0,1,3,14,0,0,4,5,0,0,13,0,0,0,,,,,150,0.8,0.75,0.605,0
696,PIT,Bryan,Rust,17,23,5/11/92,Pontiac,MI,USA,71,192,R,2010,3,80,Y,RW,41,4,7,4,11,1,68,28,18,0.06,30744,12.5,40.2,765,18.7,47,5.5,1,3,0.25,81,9.5,62,7.3,23,2.7,8,0.9,10,1.2,12,6,0,0,0,0,97,,, ,1,0,1,0,0,0,0,0,1,0,3,0,0,0,23.4,0,2,2,24,11,0,3,7,3,1,43,0,1,2,Lower body,Arm,,,142,0.665,0.652,0.687,0.235
746,CGY,Patrick,Sieloff,50,21,5/15/94,Ann Arbor,MI,USA,73,205,L,2012,2,42,Y,D,1,1,0,0,1,1,1,0,2,1.00,1079,18,43.2,25,25,0,0,0,0,0,1,3.3,3,10,2,6.7,0,0,0,0,2,1,0,0,0,0,7,,, ,0,0,1,0,1,0,0,0,0,0,0,0,0,0,35,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,2,0.925,0.894,0.01,0
799,NYR,Chris,Summers,20,28,2/5/88,Ann Arbor,MI,USA,74,209,L,2006,1,29,,D,3,0,0,0,0,-2,5,1,1,0.00,2770,15.4,36.4,76,25.3,0,0,0,0,0,3,3.9,4,5.2,1,1.3,0,0,0,0,4,2,0,0,0,0,9,,, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.2,0,0,0,1,0,0,0,1,0,0,4,0,0,0,,,,,5,0.625,0.6,0.016,0
811,TBL,Matt,Taormina,20,29,10/20/86,Warren,MI,USA,70,182,L,,,,,D,3,0,0,0,0,0,2,2,1,0.00,2507,13.9,41.1,61,20.3,0,0,0,0,0,1,1.4,1,1.4,3,4.3,2,2.9,0,0,0,0,0,0,0,0,4,,, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,2,0,0,1,0,0,0,1,0,0,0,,,,,16,0.6,0.6,0.052,0
835,WPG,Jacob,Trouba,8,21,2/26/94,Rochester,MI,USA,75,202,R,2012,1,9,,D,81,6,15,9,21,10,133,44,106,0.05,107243,22.1,49.8,2153,26.6,92,3.1,0,1,0,118,4,144,4.8,177,5.9,65,2.2,29,1,62,21,2,1,0,0,385,,, ,1,0,0,0,0,0,2,0,0,0,4,0,0,0,47.1,0,0,5,39,5,2,41,11,0,2,72,0,1,2,Upper body,,,,186,0.833,0.894,1.828,1.075
861,NSH,Austin,Watson,51,24,1/13/92,Ann Arbor,MI,USA,76,204,R,2010,1,18,Y,LW,57,3,7,4,10,-4,55,16,21,0.06,34209,10,39.1,874,15.3,60,6.3,6,7,0.462,53,5.6,74,7.8,45,4.7,10,1.1,11,1.2,32,6,2,0,0,1,153,,, ,1,0,0,1,0,0,0,0,1,0,2,0,0,0,33.6,0,1,1,14,8,0,5,5,5,1,31,0,0,1,Upper body,,,,186,0.575,0.575,0.575,0
881,CAR,James,Wisniewski,21,31,2/21/84,Canton,MI,USA,71,203,R,2002,5,156,,D,1,0,0,0,0,0,0,0,0,0.00,47,0.8,23.5,2,2,0,0,0,0,0,0,0,1,76.6,0,0,0,0,0,0,0,0,0,0,0,0,1,,, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Knee,,,,186,5,5.5,5.5,0
882,TBL,Luke,Witkowski,53,25,4/14/90,Holland,MI,USA,74,200,R,2008,6,160,Y,D,4,0,0,0,0,0,1,2,1,0.00,1711,7.1,42.8,40,10,0,0,0,0,0,9,18.9,8,16.8,1,2.1,1,2.1,0,0,4,2,0,0,0,0,13,,, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,2,0,0,0,0,0,0,1,0,0,0,,,,,10,0.575,0.575,0.031,0
18,STL,David,Backes,42,31,5/1/84,Minneapolis,MN,USA,75,221,R,2003,2,62,,C,79,21,24,17,45,4,168,60,42,0.13,91151,19.2,41.9,2173,27.5,214,8.5,620,572,0.52,131,5.2,239,9.4,63,2.5,24,0.9,39,1.5,83,34,3,0,0,0,388,2,1,0.5,4,1,3,3,1,0,0,4,4,0,12,0,0,0,30.9,0,2,9,49,15,0,16,19,18,0,100,3,3,2,Lower body,,,,186,4.75,4.5,4.5,0
52,FLA,Nick,Bjugstad,27,23,7/17/92,Minneapolis,MN,USA,78,218,R,2010,1,19,,C,67,15,19,14,34,-8,171,49,54,0.09,62350,15.5,47.7,1306,19.5,120,6.9,449,419,0.517,58,3.3,87,5,28,1.6,26,1.5,25,1.4,41,13,1,1,0,0,157,7,4,0.57,5,0,3,0,0,0,1,4,1,0,9,0,0,0,28.2,0,3,2,44,20,1,34,26,8,5,77,1,2,2,Upper body,,,,186,2.85,4.1,4.1,0
76,SJS,Justin,Braun,61,28,2/10/87,Minneapolis,MN,USA,74,205,R,2007,7,201,,D,80,4,19,11,23,11,114,43,87,0.04,98685,20.6,48.2,2046,25.6,150,5.5,0,0,0,155,5.7,95,3.5,140,5.1,46,1.7,33,1.2,36,18,0,0,0,0,271,,, ,0,0,0,2,1,0,0,0,0,0,3,0,0,0,52.3,0,1,1,41,5,0,31,23,0,0,55,0,0,2,Elbow,,,,186,3.8,3.8,3.8,0
86,TBL,J.T.,Brown,23,25,7/2/90,Burnsville,MN,USA,70,175,R,,,,,RW,78,8,14,10,22,16,140,49,47,0.06,62531,13.4,45.1,1385,17.8,125,7.2,23,27,0.46,131,7.5,103,5.9,40,2.3,14,0.8,21,1.2,59,12,5,1,0,0,207,,, ,1,0,0,1,3,0,0,1,1,0,3,0,0,0,34,0,3,8,38,18,1,11,8,13,2,87,0,1,1,Upper body,,,,186,0.975,0.95,0.95,0
95,WPG,Dustin,Byfuglien,33,30,3/27/85,Roseau,MN,USA,77,260,R,2003,8,245,,D,81,19,34,20,53,4,247,108,143,0.08,122487,25.2,55.1,2224,27.5,177,5.2,0,0,0,72,2.1,222,6.5,105,3.1,92,2.7,73,2.1,119,47,1,2,0,0,447,,, ,1,0,6,0,2,0,8,5,0,1,3,0,0,0,47.3,1,3,15,89,15,4,105,35,1,5,82,3,5,5,Undisclosed,,,,186,6,5.2,5.2,0
113,MIN,Ryan,Carter,18,32,8/3/83,White Bear Lake,MN,USA,73,202,L,,,,,LW,60,7,5,4,12,-3,62,15,19,0.11,40107,11.1,41.4,969,16.2,59,5.3,21,18,0.538,64,5.7,87,7.8,37,3.3,7,0.6,17,1.5,48,19,2,0,0,0,174,,, ,2,0,0,0,1,1,1,0,0,0,4,0,0,0,33.4,0,0,0,15,11,1,2,7,1,1,39,0,1,2,Upper body,Hand,Lower body,,186,0.625,0.625,0.625,0
151,PIT,Matt,Cullen,7,39,11/2/76,Virginia,MN,USA,73,200,L,1996,2,35,,C,82,16,16,11,32,5,118,30,35,0.14,68291,13.9,38.9,1757,21.4,113,6,582,462,0.557,77,4.1,40,2.1,41,2.2,20,1.1,19,1,20,10,0,0,0,0,101,1,0,0,2,0,4,0,1,1,1,2,2,0,9,0,0,0,25.7,0,0,3,27,12,2,5,11,6,7,75,1,1,3,,,,,186,0.8,0.8,0.8,0
224,CAR,Justin,Faulk,27,23,3/20/92,South St.Paul,MN,USA,72,215,R,2010,2,37,,D,64,16,21,10,37,-22,184,74,137,0.09,92331,24,50.6,1826,28.5,83,3.2,0,1,0,64,2.5,109,4.2,65,2.5,42,1.6,45,1.8,27,11,1,0,0,0,202,,, ,3,0,4,0,0,0,7,3,0,0,6,0,0,0,48.7,2,4,7,61,7,0,82,52,1,0,42,1,6,3,Undisclosed,Leg,,,186,3.5,4.833,4.833,0
241,LAK,Derek,Forbort,24,23,3/4/92,Duluth,MN,USA,76,212,L,2010,1,15,Y,D,14,1,1,0,2,-1,14,4,12,0.07,9278,11,39.8,233,16.6,0,0,0,0,0,17,6.6,9,3.5,7,2.7,3,1.2,0,0,17,6,1,0,0,0,34,,, ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,50.7,0,0,1,3,0,1,3,3,0,0,7,0,0,0,Illness,,,,88,0.9,0.863,0.426,0
257,TOR,Jake,Gardiner,51,25,7/4/90,Minnetonka,MN,USA,74,197,L,2008,1,17,,D,79,7,24,11,31,-15,122,86,112,0.06,97743,20.6,44.8,2183,27.6,129,4.8,2,0,1,149,5.5,87,3.2,67,2.5,74,2.7,33,1.2,32,16,0,0,0,0,186,,, ,1,1,2,0,1,0,4,0,1,0,1,0,0,0,46,0,2,5,79,3,0,39,18,4,0,58,1,1,3,Lower body,,,,186,4.05,4.05,4.05,0
268,MTL,Tom,Gilbert,77,33,1/10/83,Bloomington,MN,USA,74,202,R,2002,4,129,,D,45,1,1,1,2,3,36,10,36,0.03,45532,16.9,45.5,1001,22.2,3,0.2,0,0,0,140,11.1,29,2.3,88,7,39,3.1,6,0.5,12,6,0,0,0,0,129,,, ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,49.2,0,0,1,9,0,0,9,6,2,0,19,0,0,0,Knee,Lower body,,,186,2.8,2.8,2.8,0
278,DAL,Alex,Goligoski,33,30,7/30/85,Grand Rapids,MN,USA,71,185,L,2004,2,61,,D,82,5,32,14,37,21,127,56,115,0.04,117262,23.8,48.5,2416,29.5,131,4,0,0,0,86,2.6,100,3.1,159,4.9,73,2.2,18,0.6,34,17,0,0,0,0,293,,, ,0,0,1,0,1,1,0,0,0,0,3,0,0,0,55.5,0,1,6,49,2,1,47,5,1,1,70,0,1,2,,,,,186,4.8,4.6,4.6,0
336,NJD,Seth,Helgeson,39,25,10/8/90,Faribault,MN,USA,76,210,L,2009,4,114,Y,D,19,0,1,1,1,-5,9,9,4,0.00,15910,14,41.6,382,20.1,44,10,0,0,0,25,5.7,46,10.4,23,5.2,8,1.8,2,0.5,17,6,1,0,0,0,87,,, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.8,0,0,0,9,0,0,4,3,0,0,2,0,0,0,,,,,54,0.575,0.588,0.171,0
339,EDM,Matt,Hendricks,23,34,6/17/81,Blaine,MN,USA,72,207,L,2000,5,131,,LW,68,5,7,4,12,2,62,24,32,0.08,54010,13.2,41.3,1307,19.2,53,3.5,251,202,0.554,106,7.1,175,11.7,68,4.5,20,1.3,14,0.9,82,16,8,1,0,0,333,5,2,0.4,0,0,0,0,0,1,0,1,0,0,3,0,0,0,34.7,0,2,2,20,5,2,9,10,2,4,30,1,3,1,Undisclosed,Foot,,,186,1.85,1.85,1.85,0
378,COL,Erik,Johnson,6,27,3/21/88,Bloomington,MN,USA,76,232,R,2006,1,1,,D,73,11,16,9,27,-19,175,51,81,0.06,102678,23.4,48.8,2102,28.8,105,3.7,0,1,0,109,3.8,126,4.4,197,6.9,45,1.6,30,1.1,50,15,2,0,1,0,375,1,0,0,1,0,0,0,0,1,2,1,1,0,6,0,0,0,46.2,0,2,3,46,12,1,41,14,3,1,103,0,3,2,Lower body,,,,186,4.25,3.75,3.75,0
454,NYI,Nick,Leddy,2,24,3/20/91,Eden Prairie,MN,USA,72,199,L,2009,1,16,,D,81,5,35,19,40,-9,121,53,90,0.04,109929,22.6,55.5,1981,24.5,170,5.6,0,0,0,94,3.1,83,2.7,87,2.8,52,1.7,40,1.3,25,10,1,0,0,0,196,,, ,1,0,1,0,0,0,2,1,0,0,2,0,0,0,44.3,1,2,4,46,6,0,53,16,0,0,46,1,1,2,,,,,186,4,5.5,5.5,0
455,NYI,Anders,Lee,27,25,7/3/90,Edina,MN,USA,75,228,L,2009,6,152,,LW,80,15,21,13,36,-2,183,57,42,0.08,69967,14.6,46.7,1499,18.7,160,8.2,1,5,0.167,137,7,164,8.4,31,1.6,21,1.1,32,1.6,51,18,3,0,0,0,249,,, ,0,0,3,0,3,2,1,0,6,0,3,0,0,0,24.4,0,1,10,46,32,5,14,13,37,3,79,2,2,1,Leg,,,,186,2,3.75,3.75,0
499,SJS,Paul,Martin,7,34,3/5/81,Minneapolis,MN,USA,73,200,L,2000,2,62,,D,78,3,17,7,20,13,49,21,52,0.06,97006,20.7,49.9,1945,24.9,90,3.3,0,0,0,113,4.2,54,2,123,4.6,50,1.9,26,1,22,11,0,0,0,0,199,,, ,0,0,0,1,0,0,2,0,0,0,1,0,0,0,52.9,0,0,3,18,3,0,20,5,0,0,21,0,2,1,Undisclosed,Lower body,,,186,5.75,4.85,4.85,0
508,LAK,Jamie,McBain,5,27,2/25/88,Edina,MN,USA,73,193,R,2006,2,63,,D,44,2,7,3,9,2,32,19,27,0.06,32304,12.2,42.1,768,17.5,11,1.2,0,0,0,60,6.7,20,2.2,38,4.2,13,1.4,2,0.2,6,3,0,0,0,0,64,,, ,1,0,0,0,0,0,2,0,0,0,0,0,0,0,51.6,0,0,1,18,0,0,18,0,1,0,13,0,0,1,,,,,171,0.6,0.6,0.552,0
516,NYR,Ryan,McDonagh,27,26,6/13/89,St. Paul,MN,USA,73,216,L,2007,1,12,,D,73,9,25,16,34,26,113,62,87,0.08,97903,22.4,46.3,2115,29,139,5.1,1,0,1,101,3.7,98,3.6,138,5.1,67,2.5,31,1.1,22,11,0,0,0,0,258,,, ,2,0,0,0,1,1,2,3,0,1,1,0,0,0,46.9,0,2,6,54,5,1,41,20,1,1,44,1,2,5,Hand,Jaw,Concussion,,186,4.5,4.7,4.7,0
